Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
"Ketika saya masih muda, kami biasa berkendara dari Florida ke Michigan setiap tahun.",Kami akan mengemas semua barang kami dan memasukkannya ke dalam truk.,Kami akan berangkat pagi-pagi sekali untuk memanfaatkan waktu kami sebaik-baiknya.,"Mengemudi, makan, dan tidur adalah satu-satunya alasan kami berhenti.",Ayah saya selalu mengemudi dengan aman dan kami tiba dengan cepat.,"Sebagai gantinya, kami memutuskan untuk pulang."
Rover suka bermain tangkap dengan pemiliknya.,Suatu hari pemiliknya melempar bola terlalu keras.,Itu memantul di seberang jalan.,Rover melewati lalu lintas dengan keterampilan luar biasa.,Dia mengambil bola itu dan membawanya kembali ke pemiliknya.,Dia kemudian kabur dengan bola kecil itu.
Lewis tahu gua itu seperti punggung tangannya.,Lima penjelajah gua pertama kali berjalan di belakangnya.,"Tiba-tiba, beberapa kelelawar terbang dari kegelapan di atas.",Semua orang kecuali Lewis berlari kembali ke pintu masuk gua.,Lewis tertawa dan memberi tahu mereka untuk tidak takut pada kelelawar.,Lewis mulai menari.
Ted selalu bermimpi menjadi pemilik rumah.,"Namun, dia takut itu adalah tujuan yang tidak akan pernah dia raih.",Suatu hari ayahnya mengejutkannya dengan mengatakan bahwa dia akan membantu Ted.,Ayah Ted membantu membagi uang muka rumah dengan Ted.,Ted berterima kasih kepada ayahnya atas bantuannya.,Ted berkata dia tidak ingin menjadi pemilik rumah lagi.
Ben terlambat masuk kelas.,Gurunya membentaknya.,Dia datang terlambat keesokan harinya.,Gurunya menulis catatan untuk orang tuanya.,Ibu Ben sekarang akan membangunkannya setengah jam lebih awal.,Ben meremukkan jam bekernya dan membeli seekor ayam.
Alex butuh belanjaan.,Dia membuat daftar barang untuk dibeli.,Dia mengumpulkan karung kanvas yang dapat digunakan kembali.,Dia berjalan ke toko.,Dia membeli bahan makanan.,Alex membeli kapal pesiar.
Tom dan Dick menyukai truk mereka.,Mereka akan pergi ke gurun setiap minggu.,Mereka akan menendang tanah dan bermain-main.,Kemudian truk Tom rusak.,"Itu menghabiskan banyak uang, tetapi dia memperbaikinya.",Tom tahu akan mahal untuk memperbaiki kapalnya.
Jake melakukan perjalanan ski di pegunungan bersama teman-temannya.,"Jake tidak pandai bermain ski, tapi tetap pergi.","Suatu hari, mereka semua menuruni lereng yang menantang.",Anak laki-laki lain baik-baik saja tapi Jake jatuh dan kakinya patah!,"Jake menunggu kakinya sembuh, sebelum dia mencoba bermain ski lagi.",Jake mencoba bermain ski lagi keesokan harinya.
Saya dulu sering berburu.,"Kali ini saya pulang ke rumah, saya berburu di malam hari.",Saya terdiam untuk waktu yang lama.,"Akhirnya, saya melihat sesuatu bergerak dalam kegelapan.",Itu adalah rusa yang berhasil saya tangkai dan tembak.,Saya mengabaikannya dan pulang.
"Teman saya ingin menjadi dokter, jadi dia mengambil MCAT.","Pertama kali dia mengambilnya, dia tidak mendapatkan nilai yang cukup baik.",Dia belajar sangat keras dan mengambilnya lagi.,"Kali ini, dia melakukannya dengan sangat baik!",Kami mengajaknya minum-minum untuk merayakannya.,"Dia tidak pernah membahasnya lagi, dan tidak menjadi dokter."
Patricia terpesona begitu dia melihat ke mikroskop.,Dia tidak percaya ada dunia lain yang tidak bisa dia lihat.,Dia segera tahu bahwa dia akan menjadi seorang ahli biologi.,"8 Tahun berikutnya, dia belajar sains di sekolah dan perguruan tinggi.",Patricia akhirnya menjadi ahli biologi.,Patricia menyadari itu adalah kesalahan besar.
Meg tidak bisa menemukan anting emas favoritnya.,Dia mulai curiga bahwa pelayan baru itu telah mencuri mereka!,Suaminya menegurnya untuk menggeledah rumah dengan lebih cermat.,Meg menyadari bahwa mungkin mereka telah disedot karena kesalahan!,Meg memeriksa penyedot debu dan kemudian menemukannya.,Meg tidak bisa memikirkan di mana mereka berada.
Michelle menemukan kucing tuksedo gemuk di luar rumahnya.,Dia memasang poster di seluruh lingkungannya.,"Setelah tiga minggu, tidak ada yang menelepon Michelle tentang kucing itu.",Michelle memutuskan untuk memelihara kucing itu untuk dirinya sendiri.,"Michelle menamai kucing itu, ""Socks.""",Michelle memberikan kucing itu kepada tetangganya.
Bob menggunakan tas belanjaan plastik untuk berbelanja.,"Kemudian, temannya mengatakan bahwa plastik berdampak buruk bagi lingkungan.",Bob memutuskan untuk melepaskan kantong plastiknya.,Bob berinvestasi dalam beberapa tas belanjaan yang dapat digunakan kembali.,Bob menggunakan tas belanjaannya yang dapat digunakan kembali untuk berbelanja.,Bob terus menggunakan tas belanjaan plastiknya untuk berbelanja.
Joe berteman dengan Tim.,Mereka selalu bermain bersama saat istirahat.,Suatu hari Joe berkata dia akan pindah.,Tim sedih.,Joe dan Tim tetap berteman secara online.,Joe kemudian meninju Tim.
"Setelah saya turun dari bus, saya berjalan ke depan sekolah.",Saya senang melihat beberapa teman saya lagi.,"Ketika saya memasuki periode pertama, itu sangat familiar.",Guru itu tampak sangat baik.,Saya santai dan bahagia.,Saya mulai mengalami serangan panik.
Saya punya sepasang kaus kaki favorit.,Minggu lalu saya mencuci pakaian.,Salah satu dari keduanya hilang.,Saya mencari ke mana-mana dan tidak dapat menemukannya.,Akhirnya itu muncul.,Semua kaus kaki saya sudah diperhitungkan.
Kami dulu tinggal di dekat kolam es.,Itu membeku di musim dingin.,Suatu hari teman saya Joe membawa anaknya yang berumur 3 tahun ke kolam.,Joe menyelipkan putranya di atas es seperti batu keriting.,Putra Joe tidak berhenti tertawa selama berjam-jam.,Joe meninggalkan putranya tanpa pengawasan untuk pindah ke florida.
Sebuah kantor di pusat kota memiliki karpet merah.,Staf kantor mengeluh selalu kotor.,Tapi tidak ada penyedot debu mereka yang bisa membersihkannya dengan benar.,Jadi mereka menyewa pembersih karpet profesional.,Karpet tampak hampir baru setelah dibersihkan.,Itu menjadi lebih kotor dari sebelumnya.
Dal butuh uang untuk kuliah.,Dia mulai melakukan akuntansi untuk geng lokal.,"Ketika FBI menggerebek geng itu, dia memeriksa buku-buku mereka.",Dia secara tidak sengaja ditembak mati dalam baku tembak.,Dal membuat keputusan yang buruk.,Dal membuat keputusan cerdas.
Pan mencoba memukul saya tanpa alasan yang jelas.,"Betapa marahnya saya, saya hanya mempertahankan pukulannya.",Dia terus melemparkan tinjunya ke arahku.,"Dalam upaya untuk menghentikannya, saya melemparkannya ke tanah.",Pan akhirnya berhenti.,Aku memeluk Pan erat-erat.
Nuh membeli buku tua di toko barang bekas.,Dia membawanya pulang dan mulai membacanya.,"Saat dia melakukannya, sesuatu jatuh dari halaman.","Noah membungkuk dengan rasa ingin tahu dan mengambilnya, matanya membelalak.",Apa yang ditekan di antara halaman-halaman itu adalah semanggi berdaun empat!,Dia kembali membaca bukunya.
Penggembala membuka pintu kandang.,Dia mengirim anjingnya ke padang rumput untuk mengumpulkan dombanya.,Anjing itu menggiring dombanya menuju pintu gerbang.,Domba pindah bersama ke dalam kandang.,Sang gembala kemudian kembali ke rumahnya.,Sang gembala kemudian melepaskan dombanya.
Hari ini kami pergi naik pesawat.,"Pesawatnya sangat besar, saya takut.","Saat kita naik pesawat, Ibu memberitahuku bahwa ini akan menyenangkan.",Pesawat mengeluarkan banyak suara keras tapi itu tidak terlalu buruk.,Saya tidak lagi takut dengan pesawat.,Aku bersumpah tidak akan naik pesawat lagi.
Dave memutuskan suatu hari dia ingin melihat pertunjukan nickelback.,Dia memesan beberapa tiket.,Dia kemudian mengundang beberapa temannya.,"Mereka semua pergi ke pertunjukan, dan bersenang-senang",Dave memeriksa internet untuk melihat lebih banyak konser yang dia suka.,Dave mengambil kendali helikopter dan mendarat di lapangan.
Pada suatu malam hujan Susan parkir di tempat peristirahatan di jalan raya untuk beristirahat.,Di dalam tempat peristirahatan dia melihat seorang pria asing menatapnya dengan saksama.,Ini membuatnya merasa tidak nyaman sehingga dia segera pergi.,Susan melaju di tengah hujan ke perhentian berikutnya dan masuk.,Susan menggunakan fasilitas itu untuk buang air dan kemudian beristirahat.,Susan kembali ke perhentian terakhir untuk berbicara dengan pria asing itu.
Madeline sangat senang mendapatkan dompet baru di Saks.,Ibunya membawanya ke bagian tas.,Madeline langsung melihat tas berwarna pink yang disukainya.,Dia tidak percaya betapa menakjubkannya itu.,Ibu Madeline dengan senang hati membelikannya tas itu.,Madeline kesal dengan pembelian barunya.
Seorang pria pergi ke perpustakaan dan mengambil beberapa buku secara acak.,Dia menyembunyikannya di bagian lain perpustakaan.,Pustakawan menghentikannya dan bertanya apa yang dia lakukan.,Pria itu berkata bahwa dia mencoba untuk menghentikan orang membaca.,Pustakawan itu mengusir pria itu.,Pustakawan itu berterima kasih kepada pria itu.
Ada seekor kucing liar yang mencintai kucingku.,Dia datang menemuinya setiap hari.,"Saya akhirnya membawanya masuk dan membiarkan dia masuk, dan menamainya Tokyo.","Dia sakit parah, entah dari mana.",Saya membawanya ke dokter hewan untuk merawatnya dan dia menjadi lebih baik.,Kedua kucing itu sangat sehat.
Reggie muda senang bermain dan menonton sepak bola amerika.,Pemain favoritnya berlari mundur Jamal Lewis.,Dia berada di Bandara Salt Lake bersama keluarganya dan melihat pahlawannya.,Dia mendatanginya dengan mengatakan bahwa dia juga akan bermain sepak bola profesional.,Jamal Lewis memberinya nasihat pribadi dan mengharapkan yang terbaik.,Reggie muda menyuruhnya menjauh darinya.
Rachel mengadopsi seekor kucing lebih dari sepuluh tahun yang lalu.,"Tiba-tiba, kucing itu bertindak lebih lesu dan berat badannya turun.","Karena prihatin, Rachel membawa kucingnya ke dokter hewan.",Dokter hewan memberi tahu Rachel bahwa kucingnya mengidap kanker.,Dokter hewan mengobati kanker kucingnya sebaik mungkin.,Rachel sangat senang mendengar berita itu.
Charlie ingin menjadi petugas polisi di Hawaii.,Dia lulus ujian dan dipekerjakan di Honolulu.,Charlie suka berinteraksi dengan komunitas.,Charlie tidak suka jumlah korupsi di kepolisian.,Charlie bersumpah untuk mengubah banyak hal jika dia pernah menjadi kepala suku.,Charlie mulai menerima suap.
Fred baru dalam berolahraga dan baru saja bergabung dengan gym.,Dia luar biasa betapa mahalnya pelatih pribadi.,Dia ingin menjadi bugar tetapi tidak mampu membayar tarif.,Dia menemukan rutinitas pelatih pribadi online secara gratis.,Dia senang dengan keputusannya.,Dia tidak pernah berolahraga lagi.
Jane paranoid dan menghargai privasinya.,Dia pergi ke mal untuk mencari filter privasi.,"Di toko ponsel, dia menemukan satu yang cocok dengan teleponnya.",Dia meminta mereka memasang filter privasi.,Itu membantunya merasa lebih rileks.,Dia membagikan nomor teleponnya dengan semua temannya.
Joe suka makan kotoran.,Dia akan membuat kue lumpur setiap ada kesempatan.,Dia sedang makan pai ketika dia merasakan sesuatu yang sangat keras di mulutnya.,Joe telah menggigit batu dan merontokkan giginya.,Joe memutuskan untuk tidak makan kotoran lagi.,Joe ingin mengunyah lebih banyak batu.
Kelly menemukan seorang gadis baru di sekolah.,"Ketika dia masuk ke sekolah, dia mencarinya.","Ketika dia bertemu dengannya, dia mengundangnya untuk duduk bersamanya saat makan siang.","Saat mereka makan siang, gadis-gadis itu menjadi teman.",Kelly senang mendapatkan teman baru.,Kelly tidak pernah berbicara dengannya lagi.
Miriam terus-menerus berdebat tentang segala hal.,Ibunya memberitahunya bahwa itu adalah kebiasaan buruk.,Miriam tidak pernah berhenti bertele-tele.,Dia kemudian menjadi pengacara.,Miriam menjadi pengacara yang sangat sukses.,Miriam tidak suka berdebat.
"Di dalam mobil, seluruh keluarga sangat senang.","Setelah 9 jam mengemudi, mereka berada di blok nenek mereka.",Di depan mereka bisa melihat rumahnya.,Rumah itu tetap menyala meskipun jam 4 pagi sudah larut.,Mereka tidak sabar untuk melihat nenek!,Mereka memutuskan untuk berbalik.
Suatu malam Matt sedang dalam perjalanan pulang.,Dia tidak memperhatikan.,Dia memukul dan melukai seorang pelari yang menyeberang jalan.,Matt merasa ngeri dan berhenti untuk memeriksanya.,Matt selalu lebih memperhatikan jalan setelah itu.,"Matt mengutak-atik radio mobil, mencari stasiun yang lebih baik."
Karmen sudah siap untuk perjalanannya ke Tanzania.,Dia naik taksi ke bandara.,Dia melewati keamanan bandara dengan cepat.,Dia mengejar penerbangannya tepat waktu dan menemukan tempat duduknya.,Pesawat lepas landas dan Karmen santai.,Karmen segera keluar dari pesawat.
Kate ingin membeli keyboard baru untuk komputernya.,Dia menabung selama berbulan-bulan untuk membeli keyboard yang bagus.,Kate akhirnya online dan memesan keyboardnya!,Dia menunggu dengan penuh semangat selama berhari-hari untuk kedatangannya.,Kemudian keyboardnya tiba melalui pos.,Kemudian dia membatalkan pesanannya.
Darlene baru saja pindah ke kota baru dan tidak punya teman.,Darlene sedang mencari rak di toko barang bekas untuk rumah barunya.,Seorang pelanggan dan kasir memulai percakapan dengan Darlene.,Mereka tampak ramah dan memiliki minat yang sama.,Dia berteman cepat dengan kasir dan pelanggan.,Darlene menghina status pekerjaan kasir.
Saya pergi untuk mengasuh keponakan saya yang berusia 5 tahun di San Francisco.,Adik saya mendorong saya untuk bersepeda anaknya ke sekolah.,Saya takut bersepeda melintasi kota dengan membawa keponakan saya.,"Sebagai gantinya, kami bersepeda melalui Golden Gate Park ke pantai dan kebun binatang.",Kami bersenang-senang!,Saya tidak mempunyai seorang saudara perempuan.
Sally ingin melakukan sesuatu yang istimewa untuk ibunya.,Dia pergi dan membelikannya selusin mawar merah.,Ibunya senang mereka meletakkannya di vas di atas meja.,Mereka mengagumi mawar saat mereka makan malam.,Ibu Sally menghargai upaya tersebut.,Ibu Sally membuang mawar itu setelah makan malam.
Ellen bermimpi memenangkan hadiah untuk mawarnya.,Dia berencana untuk memasukkan mawar ungu khususnya di pameran.,Dia memupuk semak mawar dan menutupinya setiap malam.,Mawar semakin indah setiap hari.,Ellen akhirnya memenangkan hadiah itu.,Ellen harus membayar biaya penggantian untuk kartu perpustakaannya.
Pat memiliki ujian matematika yang akan datang.,Dia belajar sangat keras selama seminggu.,Pat membuat kartu flash untuk dibaca di bus.,Pat ace tesnya.,Pat senang.,Pat sedih.
Ally berharap pacarnya memilihkan cincin yang indah untuknya.,Dia meninggalkan brosur toko perhiasan di konter.,"Selanjutnya, dia melingkari cincin di majalah.",Dia bahkan menyebutkannya dengan lantang dalam percakapan telepon.,Ally tidak sabar untuk segera bertunangan.,Ally sangat halus.
Jim mengeluh karena istrinya tidak pernah mencuci piring.,Dia kemudian mengeluh bahwa Jim tidak pernah memasak makan malam.,Keesokan harinya mereka memutuskan untuk mengganti peran mereka.,Makanannya mengerikan dan piring tidak dibersihkan dengan cukup baik.,Mereka berdua memutuskan untuk kembali ke peran mereka sebelumnya.,Mereka memutuskan akan mempertahankannya selamanya.
Lucy memiliki ujian besok di sekolah dan dia hampir tidak belajar.,Hari sudah sangat larut dan dia harus pergi tidur.,Sekolah keesokan paginya tertutup karena salju.,Lucy beruntung dan menghabiskan seluruh hari liburnya untuk belajar untuk ujian.,Lucy lulus ujian.,Lucy gagal dalam ujian karena dia belum belajar.
John merasa seperti sedang terserang flu.,Pagi itu sangat dingin dan dia merasa tidak enak.,Dia menelepon ke tempat kerja dan memberi tahu atasannya bahwa dia sakit.,Kemudian John bangun dan sarapan dan merasa lebih baik.,John memiliki hari libur kerja yang menyenangkan.,John kemudian merasa mual sepanjang sisa hari itu.
Lea memiliki pohon Natal yang indah di rumahnya.,"Suatu hari, dia pergi untuk pergi ke toko.","Ketika dia kembali, pohon itu roboh.",Kucingnya telah memanjat dan menariknya ke bawah!,Leah menghukum kucingnya.,Leah memutuskan dia lebih menyukai pohon di lantai daripada berdiri.
"Teman saya, Cam, adalah penjual buku Amazon.",Dia memiliki 4.000 buku yang disimpan di garasi.,Dia menghasilkan cukup uang untuk hidup sederhana.,Suatu hari rumahnya terbakar dan dia kehilangan koleksinya.,Cam sejak itu memutuskan untuk mengasuransikan barang-barangnya.,"Setelah itu, Cam mampu menjual lebih banyak buku daripada yang pernah dia miliki."
Rick mencoba untuk tidur.,Tapi ada seekor lalat terbang di sekitar kamarnya.,Suaranya sangat menjengkelkan.,Tapi dia terlalu lelah untuk mencoba menangkap lalat.,Dia menyalakan radio untuk mencoba meredam kebisingan.,"Saat dia sedang tidur, lebah itu menyengatnya."
Kemarin saya bersenang-senang melihat The Nutcracker.,Saya sangat menyukainya.,Saat para penari menghiasi panggung itu indah.,Saya merasa terhormat telah melihat pertunjukan itu.,Saya ingin melihatnya lagi.,Aku bersumpah tidak akan pernah melihatnya lagi.
Rex bersiap-siap untuk pesta malam ini.,Dia menyadari dia belum menyiapkan apa pun untuk dimakan para tamu dengan keju.,Rex kehabisan baguette.,Dia mengirisnya menjadi irisan tipis agar mudah dimakan.,Semua orang menikmati keju dan roti.,Rex melakukan perjalanan panjang melintasi lautan.
"Ketika saya berumur lima tahun, saya pindah.",Saya harus pergi ke sekolah baru.,Saya merasa kesepian di hari pertama saya.,Seorang anak berjalan ke arah saya dan memperkenalkan dirinya.,Saya merasa tidak terlalu kesepian.,Saya merasa lebih kesepian.
Sam sedang mengamati bintang suatu malam.,Tiba-tiba dia duduk tegak.,Dia melihat bintang bergerak yang berkelap-kelip!,Dia berlari untuk menunjukkannya pada ayahnya.,Ayahnya tertawa karena bintang itu benar-benar jet dengan lampu.,Ayah Sam senang putranya tertarik pada geologi.
Ayam-Fil-A baru baru saja dibuka dan saya tidak sabar untuk mencobanya.,Garis itu keluar dari pintu.,Saya menunggu setengah jam hanya untuk memesan sesuatu.,Saya memesan sandwich ayam pedas.,Saat itu saya memutuskan ini adalah makanan favorit saya yang baru.,"Sebagai seorang vegetarian, saya menolak untuk makan sandwich ayam."
Alicia menyukai tempat tinggalnya.,"Suatu hari, orang tuanya memberi tahu dia bahwa mereka akan pindah.",Dia sangat sedih.,Pada hari pindah dia mengucapkan selamat tinggal kepada teman-temannya.,Kemudian mereka pindah ke rumah baru mereka.,Alicia senang meninggalkan rumah lamanya.
Ryan dulu bekerja untuk keamanan mal.,Dia sering bekerja shift malam.,"Suatu hari, dia melihat rakun di mal.",Dia menatapnya selama berjam-jam sampai pergi.,Ryan memutuskan pekerjaannya agak membosankan.,Ryan buta.
Nick ditantang untuk pertandingan bola voli.,Pacarnya bertaruh lima dolar dia bisa mengalahkannya.,Nick tidak berniat membiarkannya menang!,Dia bermain keras dan tanpa ampun.,Nick memukuli pacarnya dan dia memberinya lima dolar.,Nick menyerah karena dia tidak peduli jika pacarnya menang.
Saya memutuskan saya ingin mendaftar ke klub natal dengan bank saya.,Saya menelepon kasir dan bertanya kapan saya bisa melakukan ini.,Dia mengatakan kepada saya bahwa saya bisa masuk kapan saja.,Saya pergi pagi ini dan mendaftar untuk rencana tersebut.,Saya senang saya mendaftar.,Saya menyesal mendaftar.
Tadi malam sangat menakutkan.,Kami mendapat peringatan tornado dan badai petir yang mengerikan.,Sayangnya konser biola saya tidak dibatalkan.,Saya diminta untuk datang tetapi selama pertunjukan lampu padam.,Kami tidak bisa melihat partitur kami.,Sepertinya tidak ada yang memperhatikan apa yang telah terjadi.
Gina telah mengambil es krim saudara laki-lakinya yang menangis.,Sekarang dia menangis karena dia menginginkannya kembali.,Gina menolak dan terus makan es krimnya.,Ibunya menyodok dan membuatnya mengembalikannya.,Gina mendapat masalah.,Ibu Gina menyukai perilakunya.
Seorang anak laki-laki ingin bermain untuk tim bisbolnya.,Dia banyak berlatih dengan saudara-saudaranya.,"Saat latihan, pelatihnya membiarkan dia mencoba sebagai pelempar.",Anak laki-laki itu tidak melakukannya dengan baik.,Anak laki-laki itu pulang dengan kecewa.,Pelatih menawari bocah itu posisi pelempar awal.
"Saat tiba waktunya makan, Ibu membunyikan bel.",Ayah dan Bill tahu suara itu ketika mereka mendengarnya.,"Mereka menjatuhkan pekerjaan pekarangan mereka, dengan hati-hati, dan mencuci tangan.",Ibu senang saat mereka akhirnya sampai di rumah.,"Keluarga itu duduk, dan menikmati makan bersama.",Dia kemudian berteriak agar mereka kembali bekerja.
Tory lelah dengan cuaca panas.,Dan dia tidak punya AC di rumah.,Dia mengumpulkan uang sebanyak yang dia bisa dan mulai membelinya.,"Tapi saat dia melangkah keluar, dia melihat tetesan hujan.","Tory harus menunggu beberapa saat untuk membeli unit AC-nya, tapi lebih sejuk.",Udara menjadi terlalu panas dan kering untuk Tory keluar.
Evie berkeliling kastil selama berjam-jam.,Dia menjelajahi setiap sudut dan celah struktur.,Supervisornya menanyainya tentang apa yang telah dia pelajari.,Dia menjawab pertanyaan mereka dengan cemerlang dan mudah.,Dia bangga pada dirinya sendiri.,Dia lari ketakutan.
Sally sedang istirahat kerja.,Dia pergi untuk membeli taco dari kedai taco di luar.,Dia menyadari dia lupa dompetnya di rumah.,Seorang pria yang baik memperhatikan apa yang terjadi dan menawarkan untuk membayar.,Sally berterima kasih atas kebaikannya.,Sally menangis di sisa waktu istirahatnya.
Josh menyukai lebah.,Dia pikir mereka baik untuk planet ini.,"Suatu hari, Josh disengat lebah.",Sangat menyakitkan.,Josh tidak menyukai lebah lagi.,Josh menuangkan sisa sirup ke atas pancake-nya.
Hari pertama Don di dermaga mengalami cegukan.,Dia gugup berada di sekitar alat berat.,Pada satu titik dia menjatuhkan kiriman yang berat.,Ini hampir menabrak rekan kerja.,Don tahu dia harus berkembang.,Don senang dia tidak gugup di tempat kerja.
Jackie telah ditunjuk sebagai pengawas aula kelas delapan.,Dia membuat iri di seluruh kelas.,Teman sekelas sering membahayakan pekerjaannya.,Mereka akan mencuri tiket masuk aula Jackie.,Kepala sekolah menskors teman sekelasnya yang gaduh.,Teman sekelasnya diberi penghargaan atas perilaku mereka.
Brad ingin telur untuk sarapan.,Brad kehabisan telur!,Brad menangis lama sekali.,Ibu Brad pulang dengan telur!,Brad memiliki Eggs Benedict yang lezat.,Brad membenci ibunya karena mendapatkan telur itu.
Charlie akan makan apa saja.,"Dia kecil, bahkan untuk seekor chihuahua, tapi dia menyukai makanan.",Kemenangan puncaknya adalah saat dia mencuri pizza berukuran besar.,"Merasa kecewa, keluarganya menyebut dia orang jahat yang mereka sebut dokter hewan.",Charlie mengubah kebiasaan buruknya.,Keduanya kemudian menimbulkan lebih banyak masalah.
Gary adalah anak yang pemberani.,Suatu hari dia memutuskan untuk memanjat pagar di halaman belakang rumahnya.,Orangtuanya mencarinya ke mana-mana.,Mereka menemukannya sedang duduk di ayunan di taman.,Orang tua Gary lega menemukannya.,Orang tua Gary kecewa menemukannya.
Joanie sedang mewawancarai pekerjaan pertamanya.,Dia sangat gugup.,Dia sangat ingin mendapatkan posisi di toko es krim.,Dia pikir wawancaranya berjalan cukup baik.,Keesokan harinya dia mendapat telepon dan ditawari pekerjaan itu.,Dia menolak pekerjaan itu ketika manajer menawarkannya kepadanya.
Rachelle bekerja keras untuk membeli rumah pertamanya.,Dia sangat bangga dengan pencapaiannya.,"Sayangnya, dia kehilangan pekerjaan dan akhirnya, rumahnya.",Dia memutuskan untuk tinggal di hotel dan mencari pekerjaan baru.,Dia menjadi depresi.,Dia senang dengan pergantian acara.
Saya suka tempat Italia yang satu ini di dekat rumah pacar saya.,Kami pergi ke sana bersama sepanjang waktu dan itu selalu luar biasa.,Saya suka pilihan pasta mereka dan harganya luar biasa!,Kami sudah lama pergi ke sana sehingga staf tahu apa yang kami dapatkan.,Kami masuk dan makanan langsung ada di atas meja.,Ini sangat menjijikkan sehingga saya memperingatkan teman-teman saya untuk tidak pernah makan di sana.
Bob adalah seorang pekerja di Mechanical Turk.,Dia mendapat bonus lima puluh dolar.,Bob senang karena itu bonus terbesar yang didapatnya.,Bob memakai kacamatanya dan menyadari itu sebenarnya lima dolar.,"Bob masih senang, tapi kurang bersemangat.",Bob bahkan lebih bahagia dari sebelumnya.
Oscar tidak pernah membereskan tempat tidurnya.,Ibunya selalu menginginkannya.,Akhirnya dia memutuskan untuk mulai membereskan tempat tidurnya.,Ibunya bangga.,Dia memberinya makanan penutup.,Dia berteriak padanya.
Jill adalah seorang siswa sekolah menengah.,Dia takut harus pergi ke kelas.,"Suatu hari, dia memutuskan untuk meninggalkan sekolah.",Orang tuanya mengetahuinya keesokan harinya.,Orang tua Jill memarahinya karena membolos.,Orang tua Jill membawanya ke Disney World.
Maggie takut dan bersemangat untuk naik gunung luar angkasa.,Dia dan ibunya menunggu dalam antrean selama dua jam.,"Ketika antrean lebih pendek, keduanya berada di depan.",Mereka masuk ke dalam mobil dan memakai sabuk pengaman.,Perjalanan itu sangat menyenangkan bagi Maggie.,Maggie senang antreannya begitu singkat.
Vince mendambakan sesuatu yang manis.,Vince tidak ingin makanan penutup es krimnya yang biasa.,Vince mengendarai mobilnya ke Yogurtland.,Vince mendapat 10 ons yogurt beku.,Dia membagikannya dengan seorang gadis cantik yang dia temui.,Vince membuang yogurt itu.
Vinny selalu berharap bisa bertemu dengan bintang film kehidupan nyata.,Teman-temannya mengatakan kepadanya bahwa sangat sulit untuk bertemu dengan seorang bintang film.,"Namun, dia tidak putus asa.",Suatu hari Vinny melihat Denzel Washington berjalan-jalan.,Vinny berfoto dengannya.,Vinny terus berjalan.
Tammy suka merenda.,Natal tinggal beberapa minggu lagi dan dia tidak benar-benar punya uang.,Dia mendapat ide untuk mengambil benang cadangan yang dia miliki untuk membuat selimut.,Dia kemudian membungkusnya untuk cucunya Lorelei.,Lorelei menghargai selimut itu selama bertahun-tahun.,Tammy sedih karena dia tidak punya hadiah untuk diberikan.
Kathy pergi berbelanja.,Dia menemukan sepasang sepatu yang bagus.,Sepatu itu seharga $ 300.,Dia membeli sepatu itu.,Dia merasakan penyesalan pembeli setelah pembelian.,Kathy benci membeli sepatu.
Amy tidak puas dengan makalahnya.,"Alih-alih menyerahkannya, dia membolos.",Dia pergi ke kedai kopi untuk menulis ulang.,Dia menghasilkan kertas yang dia banggakan.,Amy mendapat nilai A di kertas tapi mendapat masalah karena membolos.,Amy mulai bersekolah di kedai kopi.
Arthur dan teman-temannya sedang nongkrong.,Mereka sedang minum bir dan mengobrol.,Tiba-tiba birnya habis.,Arthur tidak ingin mengambil yang terakhir.,Arthur memesan satu ronde lagi untuk teman-temannya.,Arthur merasa senang mengambil yang terakhir.
Dengan ngeri Kathy menyadari bahwa dia kehabisan susu.,Jadi dia mengumpulkan anak-anaknya yang masih kecil dan pergi ke toko.,Mereka buruk di toko dan banyak berteriak.,Kathy menangis dalam perjalanan pulang.,Semua anak pergi tidur tanpa makan malam.,Kathy segera membawa mereka ke toko lagi.
Malamute selalu mengendus perosotan selama berjalan.,Pemiliknya mengantarnya ke peron suatu hari.,Dia takut untuk meluncur ke bawah.,Mereka terus melakukan ini setiap hari saat berjalan.,Malamute akhirnya mencoba meluncur ke bawah perosotan.,Pemilik Malamute tidak pernah membawanya ke perosotan lagi.
Teman sekamar saya jorok.,Dia tidak pernah mencuci piring tetapi selalu menggunakannya.,Saya menemukan yang tua dengan jamur di dalamnya.,Baunya sangat menyengat.,Saya berteriak pada teman sekamar saya karena menjijikkan.,Teman sekamar saya sangat menyenangkan untuk tinggal bersama.
Jim kentut lebih banyak dari biasanya.,Istrinya menjadi prihatin karena baunya sangat tidak enak.,Dia bersikeras agar dia pergi ke dokter.,Dokter Jim mengatakan kepadanya bahwa dia menjadi tidak toleran terhadap laktosa.,Istri Jim lega menemukan sumber masalahnya.,Istri Jim memutuskan dia harus menjalani diet kaya susu.
Avery sangat senang.,Malam ini adalah pertandingan bola basket pertamanya.,Dia telah berlatih dan orang tuanya datang untuk mengawasinya.,Avery bermain bagus dengan rekan satu timnya dan bahkan mencetak beberapa poin!,Orang tua Avery bangga.,Orang tua Avery malu padanya.
