Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Gabriel adalah ayah Lasya,Lasya sangat membenci ayahnya,Gabriel pernah mengkhianati keluarganya,Lasya tidak tinggal bersama seseorang yang ia benci,Lasya tinggal bersama neneknya,Lasya sangat menyayangi Gabriel
Rena adalah anak bungsu dari dua bersaudara,Ia memiliki kakak yang lebih tua sepuluh tahun dari dirinya,Keluarganya seringkali membandingkan mereka berdua dalam berbagai hal,Ucapan mereka membuat Rena sering iri pada kakaknya,"Namun, hal ini membuat Rena jadi semangat untuk bisa lebih baik dari kakaknya",Rena memutuskan untuk pergi jauh dari keluarganya
Isla meminta uang kepada orang tuanya,Isla ingin membeli es krim,Orang tua Isla melarang anaknya membeli es krim,Isla menuruti perkataan orang tuanya,Isla hanya membeli makanan ringan untuk cemilan,Isla menghabiskan uangnya untuk membeli es krim
Beberapa hari ini Mila tidak mau makan,Ia sedang menghadapi masalah yang berat,Setiap saat ia terus memikirkan masalahnya,Hal ini membuatnya malas untuk makan,Teman-teman Mila khawatir dengan kondisi Mila,Teman-teman Mila senang karena Mila sedang diet
Ciella membeli rak buku baru,Ciella menata bukunya di rak baru tersebut,Kamar Ciella menjadi lebih rapi,Ciella sangat suka membaca buku,Ciella mengoleksi banyak buku,Ciella tidak memiliki buku
Manu sangat ingin mengunjungi Baitullah,Manu ingin mengelilingi ka'bah,Manu sangat merindukan tanah suci,Allah mengabulkan doa Manu di tahun ini,Manu akan menunaikan ibadah haji pada tahun ini,Manu ingin berlibur ke Paris
Malam ini adalah giliran Gilang meronda di perumahannya.,Gilang sudah menyiapkan diri dengan sarung dan senter.,Pukul 9 malam ia berjalan menuju pos ronda tidak jauh dari rumahnya.,"Di dalam pos ronda, ada beberapa pemuda seusianya yang sedang mengobrol sambil minum kopi.",Nantinya Gilang dan pemuda-pemuda yang lain akan bergantian berkeliling lingkungan perumahan sampai pagi tiba.,Nantinya Gilang akan tidur ketika yang lain berkeliling.
"Setelah keramas, Bella tidak langsung mengeringkan rambutnya",Bajunya basah terkena tetesan air,Lantai rumah menjadi licin karena Bella,Ibu menegur Bella agar ia mengeringkan rambutnya,Ibu khawatir Bella akan masuk angin jika tidak langsung mengeringkan rambutnya,Ibu mengancam akan mengotori rambut Bella
Nino benar-benar malu,"Sejak tadi pagi, ia mencium bau yang tidak sedap",Bau itu terus mengikutinya,"Saat ia melepas sepatu, ia baru tersadar",Ternyata bau itu berasal dari kakinya,Ternyata sepatunya ada parfumnya
Mamat dan keluarganya berlibur ke pantai,Dengan semangat Mamat menunggu ombak di pinggir pantai,Tiba-tiba ombak yang cukup kuat menghantam wajahnya,Airnya masuk ke mata Mamat,Matanya perih sekali karena terkena air laut,Matanya menjadi segar setelah terkena air laut
Gadis kecil itu keluar dari kelas dengan wajah memerah.,"""ada apa?"" tanya si gadis pada seorang laki-laki  kecil seusianya itu.","Anak laki-laki itu hanya menunduk, sementara teman-teman disekitar tertawa melihat tingkahnya.","""ini, untukmu"" ucap si anak laki-laki sambil menyuguhkan selembar kertas dan sebuah kalung berbentuk hati.","Si gadis mengambilnya, lalu berlari menuju ruang kelas sambil menutupi wajahnya yang merah.",Si gadis terjatuh karena lantai kelasnya terlalu licin.
Nabila sangat kecewa pada Rina,Sahabatnya itu diam-diam menyalin tugasnya,Perbuatan Rina ketahuan saat tugas mereka diperiksa,"Akibatnya, Nabila juga terkena getahnya",Nilai tugas mereka menjadi nol karena dianggap tidak jujur,Nabila harus mengerjakan tugas Rina
"Windy memperingatkan adiknya, Lutfi, untuk tidak bermain petasan lagi.","Seminggu yang lalu, Lutfi bermain petasan bersama teman-temannya di sela-sela salat tarawih.",Lutfi menyulut petasan dan terlambat untuk melepaskannya.,"Petasan itu meledak di tangan Lutfi, menyebabkan luka bakar ringan yang berbekas sampai sekarang.",Windy tidak mau Lutfi terluka lagi.,Windy tidak mau Lutfi jajan terlalu banyak.
Kue-kue yang dijual Berta di bazar sudah hampir laku semuanya.,Hanya tersisa dua cupcake dan satu kotak nastar.,Berta melihat jam yang melingkar di pergelangan tangan kanannya.,Jam menunjukkan pukul setengah 6 sore.,Berta mulai membereskan kue-kuenya dari stan bazar agar bisa pulang lebih awal sebelum gelap.,Berta mulai membuat kue yang baru untuk dijual.
Nur merelakan kuota SNMPTN miliknya,STAN adalah universits impian Nur,Nur gagal mengikuti SBMPTN,Nur mendapatkan pengumuman lolos di universitas impiannya,Nur lolos ujian masuk STAN ,Nur lolos jalur SNMPTN ke universitas impiannya
Mahdi ingin merayakan valentine dengan pacarnya,Mahdi mempersiapkan makan malam yang romantis,Mahdi juga membeli hadiah untuk pacarnya,Pacar Mahdi merasa sangat bahagia,Mahdi mengetahui cara membuat pacarnya bahagia,Mahdi lupa dengan hari valentine
Deana menarik kopernya.,Suasana bandara tidak terlalu ramai.,Sekarang memang belum memasuki masa liburan.,Deana pun berada di bandara bukan untuk pergi berlibur.,Ada pekerjaan dari kantornya untuk Deana di pulau seberang.,Ada pekerjaan untuk sepupu Deana.
Ghani pergi ke sekolah menggunakan mobil,Adri datang ke sekah berjalan kaki,Adri tidak memiliki uang untuk menaiki angkutan umum,"Hari ini, Adri datang ke sekolah dengan menggunakan mobil",Ghani mengajak Adri untuk mengajak bersama,Adri mengalami patah tulang pada kakinya
Icop membantu juniornya memilih mata kuliah,Icop memberikan saran dan pendapat menurut pengalamannya,Junior Icop sangat berterima kasih kepada Icop,Icop senang membantu juniornya,Icop adalah senior yang baik,Icop tidak mau membantu juniornya
Penyakit Agnes kambuh di malam hari,Agnes merintih kesakitan di dalam kamar kosnya,Agnes tinggal sendirian di kota ini,Agnes hanya bisa menahan kesakitannya sendiran,Agnes berusaha menguatkan dirinya,Teman sekamar Agnes membantunya
Minggu pagi merupakan jadwal Jio lari pagi rutin,Ia berkeliling komplek selama satu jam,"Sepulangnya dari olahraga, Jio beristirahat sejenak sebelum mandi","Saat Jio hendak mandi, ternyata air di rumahnya mati",Akhirnya Jio menumpang mandi di rumah tetangga yang memiliki bak mandi,Jio mandi menggunakan air minum
Reno melambaikan tangannya mememanggil Naura di kejauhan.,"Terlihat dari tempat Reno berdiri, Naura membalas lambaian tangannya.",Reno dan Naura sama-sama melangkah untuk saling menghampiri.,"Begitu berhadapan, Naura langsung memeluk Reno erat.",Naura rindu sekali dengan kakaknya yang sudah tidak ia temui selama 2 tahun.,Naura tiba-tiba merasa lapar.
Delisa sedang ujian hafalan sholat,Delisa takut melupakan beberapa ayat ,Delisa sudah menghafal surat pendek sejak satu bulan yang lalu,Delisa dapat melalui ujian hafalan sholatnya,Delisa berhasil membanggakan kedua orang tuanya,Delisa menganut agama islam
"Sore itu danau tampak indah disinari cahaya yang mulai berwarna jingga, riaknya tampak berkerlap-kerlip.",Mataku seperti terhanyut kedalamnya.,"""Penantianmu telah berakhir, dan tidak sia-sia. Aku disini untuk pulang, padamu ..."" Tiba-tiba ia kembali bersuara.","Aku yang daritadi terhanyut memandang danau, langsung dikagetkan hingga mataku berkaca-kaca.",Aku sontak memeluknya karena tidak ada satu katapun yang mampu aku ucapkan. ,"""Bu? ini harganya berapa?"" ia bertanya pada pemilik kantin."
Ariel akan mengikuti perlombaan menyanyi,Perlombaan tersebut akan disiarkan di siaran nasional,Ariel berlatih mengolah vokalnya agar menjadi juara,Ariel menampilkan hasil terbaiknya ketika hari perlombaan,Ariel berhasil menjadi juara perlombaan menyanyi,Ariel tidak tertarik dengan seni tarik suara
Naya sangat menyayangi kucing ,Hara membeli seekor kucing,Naya mendapatkan hadiah dari Hara,Hara tidak boleh memelihara kucing,Naya mendapatkan kucing dari Hara,Hara sangat menyayangi kucing yang baru dibelinya
Birto bekerja sebagai komandan polisi,Birto mendapatkan panggilan tugas,Birto harus menangkap penjahat,Birto berhasil mengalahkan penjahat tersebut,Birto membawa penjahat tersebut ke penjara,Penjahat yang dikejar Birto lolos
"Indra memanggil Ibu, Bapak, dan adiknya Tere sambil mengelilingi rumah.",Indra baru bangun dari tidur siangnya mendekati magrib.,Namun di rumah tidak ada siapa-siapa.,Indra mengecek HP untuk melihat apakah ada yang meninggalkan pesan.,Ternyata ada pesan dari Ayah yang memberi tahu mereka pergi sebentar untuk belanja bulanan.,Ternyata ada pesan dari teman Indra yang mengajak pergi malam nanti.
Dyah kehabisan kuota,Dyah ingin berelancar di internet,Dyah meminta password wifi temannya,Dyah mendapatkan password tersebut,Dyah dapat kembali berselancar di internet,Dyah dapat mengakses internet dengan kuotanya
"""kau tidak akan pulang?"" tanya fifi setelah ia selesai membersihkan toko kopinya.","""rumahku disini"" jawab galang.","""hei. ini toko kopi milikku. bukan rumahmu"" fifi duduk didepan galang dan mengejeknya.","""kau rumahku, fi"" ucap galang lagi sambil mengacak-acak rambut fifi.","Sontak wajah fifi memerah, degub jantungnya menjadi tak karuan.",fifi mendorong galang hingga kepalanya terbentur ke meja.
"Aku dengan asik membalik-balik setiap halaman komik conan, tiba-tiba seorang cowok bekulit putih, hidung mancung dan mata belok mendekatiku.","Dengan gaya rambut berjambul pada bagian atas, mungkin sengaja di potong agar bagian atas lebih tebal dan panjang dibandingkan bagian tepi kiri dan kanan.","“Hay susan”. Sapa cowok berwangi coklat itu, sambil menyisir bagian rambut atas kebelakang dengan tangan kanan.","“eh, hey leo” jawabku agak pelan, kemudian menundukkan kepala ku karena risih.","""aku duduk disini ya?"" tanya leo, sementara aku langsung beranjak pergi dan menyusul teman-teman ke kantin.",Leo pergi ke kantin untuk membelikanku makanan.
Fakih ingin melakukan rekaman suara,Acara pentas seni akan diisi dengan drama persembahan setiap kelas,Fakih menjadi penanggung jawab suara untuk kelasnya,Studio menjadi tempat pilihan Fakih untuk merekam suara,Fakih pergi ke studio milik ayahnya,Fakih tidak menjabat sebagai apapun dalam acara pentas seni
Pendapat Amira tidak terbantahkan.,Mie ayam yang sedang Dita makan benar-benar enak.,Bahkan merupakan mie ayam terenak yang pernah Dita makan.,Persis seperti perkataan Amira yang bilang ini adalah mie ayam terenak yang pernah Amira makan.,Dita akan berterima kasih kepada Amira selesai makan karena telah memaksanya mencoba mie ayam ini.,Dita akan berterima kasih kepada Amira karena telah melarangnya makan mie ayam.
Joni rela tidak jajan selama sebulan di sekolah.,Joni selalu membawa bekal dari rumah.,Joni sedang menabung.,Ada sepatu bola yang ingin Joni beli.,Harga sepatu tersebut setara dengan jumlah uang jajan Joni dalam sebulan.,Harga sepatu tersebut murah.
Aira akan berulang tahun,Aira ingin dibelikan kue yang tinggi,Ibu membelikan Aira kue yan diinginkannya,Aira bahagia di hari ulang tahunnya,Aira berterima kasih kepada ibu,Aira sedih karena permintaannya tidak dikabulkan
"Setiap pagi, Hana meminum jus buah","Jus favoritnya adalah campuran lemon, stroberi dan nanas",Semua ia blender hingga menjadi halus,Jus itu ia tambahkan madu agar tidak terlalu asam,Hana meminum jus buah untuk menjaga kesehatan,Hana meminum jus buah agar perutnya menjadi sakit
Hiras dan Tira berada di satu kelas yang sama,Sepasang siswa yang duduk bersebelahan adalah teman sebangku,Hiras teman dekat Tira,Tira duduk di sebelah Hiras,Hiras dan Tira merupakan teman sebangku,Hiras mengajar bahasa indonesia di sekolah Tira
Faisal memiliki sahabat pena di luar kota,Faisal membeli perangko kantor pos,Faisal mengirimkan surat tersebut melalui pos,Faisal menuliskan keluh kesahnya di surat tersebut,Faisal tidak sabar menunggu balasan dari sahabatnya,Faisal tidak suka menulis surat
Kakek sangat suka memelihara ikan koi,Kolam ikan di rumahnya penuh dengan ikan hias cantik tersebut,Ikan kesayangannya adalah ikan koi besar tiga warna,Di kepalanya terdapat corak bulatan merah yang cantik,"Meski pernah ada yang berminat membelinya, kakek tidak pernah mau menjual ikan koi tersebut",Kakek ingin memakan ikan itu suatu hari nanti
Memiliki tiga kakak perempuan tidak selalu menyenangkan,"Setidaknya, itulah yang dirasakan oleh Rio",Ketiga kakaknya sangat gemas pada bocah berusia empat tahun itu,"Setiap hari, Rio mereka rias seperti tuan putri mulai dari rambut hingga pakaiannya",Tidak jarang hal itu membuat Rio menangis karena tidak suka,Ketiga kakaknya tidak suka memiliki adik laki-laki
Budi membacakan anaknya sebuah kop surat yang tertera nama calon menantu-nya.,Ia tampak jahil dan menggoda anaknya yang kini sudah tampan serta mapan itu.,"""Bawa kemari suratnya yah, jangan dibuka, rahasia anak muda"" ucap si anak.","""Haha, kau begitu cemas jika didalamnya ada kabar buruk dari ani, kan?"" Lagi-lagi budi menjahili dengan kalimat yang semakin membuat anaknya takut.","""Bukan begitu, aku hanya malu"" jawab anak budi dengan muka memerah.",Istri budi adalah seorang guru di sekolah dasar.
Elva hendak melaksanakan solat isya,Elva sedang berlibur ke puncak,Elva tidak membawa mukena dan sajadah,Elva meminjam mukena dan sajadah milik ibunya,Elva dapat melaksanakan solat isya,Elva melupakan solat isya karena asik berlibur
Baju yang dipakai Bowo adalah batik berwarna merah emas.,Bowo dan orang tuanya memakai batik dengan warna dan corak yang sama.,Ibu memakai batiknya sebagai bawahan kebaya merah.,Bapak memakai kemeja lengan panjang sama seperti Bowo.,Kini mereka siap untuk menghadiri acara pernikahan sepupu Bowo dengan batik seragam mereka.,Kini mereka siap untuk pergi ke rumah sakit.
Kakek adalah mantan pejuang kemerdekaan,Kakek tidak mendapatkan kehormatan sebagai seorang pahlawan,Kakek tidak dapat melakukan apapun saat ini karena sudah tua renta,Anak-anak kakek merawat kakek dengan kasih sayang,Setidaknya kakek merasakan kebahagiaan di hari tuanya,Kakek tidak memiliki anak
Bob memiliki pita suara yang bagus,Dari kecil ia sudah dilatih bernyanyi oleh Tantenya yang juga seorang penyanyi,Bob juga mampu memainkan berbagai instrumen,"Gitar, piano, dan terompet adalah beberapa contohnya",Bob anak yang berbakat dalam dunia musik,Bob dan tantenya sering menonton tv bersama
Miko memiliki teman-teman yang iseng,"Beberapa jam lalu, Miko tertidur di dalam bus pariwisata yang berisi siswa kelasnya",Teman-temannya memotret Miko yang sedang tertidur dengan pose lucu,"Saat Miko terbangun, teman-temannya langsung menunjukkan foto yang mereka ambil",Miko tertawa terbahak-bahak karena tingkah teman-temannya yang usil,Miko meminta teman-temannya untuk tidur juga
Voldemort adalah seorang penyihir hitam,Dia sangat kuat dan jahat,Dunia menjadi gelap kejahatannya,Tidak ada yang berani menentang kekuatan Voldemort,Voldemort sangat berkuasa,Banyak orang yang kagum pada Voldemort
Brian baru saja mengalami hati,Brian duduk di atas jendela kamarnya,Brian menatap langit sambil berteriak marah,Brian merasa hidup tak adil kepadanya,Brian merasa dia tidak pernah bahagia,Brian merasa senang ketika mengalami patah hati
Jamil sudah rindu berlatih basket,Sudah dua minggu kakinya cedera,Ia cedera setelah jatuh dari motor,Ia dilarang beraktivitas berat sampai kakinya sembuh,"Oleh karena itu, sudah dua minggu ia tidak bermain basket",Jika terjatuh dari mtor sebaiknya dibawa ke rumah sakit
Negeri ini seolah memiliki 3 kasta masyarakat,Masyarakat kelas atas menjadi penguasa,Masyarakat kelas menengah tak tahu harus apa,Masyarakat kelas bawah tentu menjadi pekerja,Penghasilan menjadi penentu kasta tersebut,Semua orang dianggap setara di negeri ini
Akhirnya hari ini ratna menemukan tempat untuk berteriak sekeras-kerasnya.,Memandangi perbukitan hijau lepas dan rumah-rumah penduduk yang tampak sangat kecil dipadukan dengan angin sepoi yang berhembus.,"Hampir sempurnya, penat yang terbayarkan, batinnya.","""ada masalah apa hingga berteriak seperti itu?"" tanya salah seorang temannya.","""tidak ada, ini kumpulan dari beberapa masalah yang telah lalu"" jawab ratna sambil tersenyum pada temannya.","""aku bosan hidup. aku ingin lompat saja ya"" ucap ratna sambil menangis di ujung jurang."
Ivy ingin menonton berita di televisi,Televisi Ivy tidak menampilkan gambar yang bagus,Ivy melaporkan hal tersebut kepada ayahnya,Ayah membetulkan posisi antena televisi,Ivy dapat menonton berita dengan jelas,Ivy membetulkan antena televisinya sendiri
"Di sela-sela mengerjakan tugas kuliah, Jojo melihat TV menayangkan berita narapidana yang lolos dari penjara.",Tiba-tiba ia teringat film tentang seorang narapidana yang dijanjikan bebas apabila berhasil memenangkan balapan mobil.,Jojo pun berpikir apa rasanya dipenjara dan diiming-imingi kebebasan dengan taruhan nyawa.,Apakah ia akan berani mengambil risiko tersebut atau pasrah saja menunggu masa hukuman selesai.,Jojo melamun lama sekali sampai melupakan tugasnya yang belum selesai.,Jojo ingin mencoba ikut balapan mobil.
Hal yang tidak aku sukai adalah pindahan.,"Pindah rumah, pindah kosan, atau pindah kamar sekalipun.","Seperti kata raditya dika, kita harus bertemu kembali dengan barang2 lama yang bahkan tidak ingin lagi dilihat.",Barang-barang yang membawa kembali kenangan2 manis yang berujung pahit dari masa lalu. ,"Maka dari itu, pindahan membuat kita memikirkan barang mana yang harus dibawa dan barang mana yang harus ditinggalkan.",Hari ini aku pindah rumah ke kota sebelah.
Jerom merasa rambutnya sudah sangat panjang,Jerom ingin pergi ke pangkas rambut,Jerom mengajak adiknya untuk ikut,Jero pergi sendirian ke tempat pangkas rambut,Adek Jerom menolak untuk ikut,Jerom tidak memiliki adik
Sudah berkali-kali Rena mencoba menanam kemangi,Sayangnya ia selalu gagal,Ia sudah mencoba menanam dari biji,Ia juga sudah mencoba merawat dari bibit yang masih kecil,Meskipun sudah merawatnya dengan baik ia selalu gagal,Tanaman yang disentuh oleh Rena akan mati
Sore itu key dan teman-temannya sedang berjalan dari perpustakaan menuju kelas.,"""ehm key.."" tiba-tiba terdengar suara dari arah kamar mandi perpustakaan memanggil nama key.",Key terkejut dan menoleh ke sumber suara.,"""ah steef? ngapain di depan toilet begini?"" tanya key tanpa bisa menyembunyikan pipinya yang sudah memerah.","""cuma buat nungguin kamu key"" jawab steef yang tentunya semakin membuat jantung key berdebar.",Key dan steef sudah pacaran selama setahun.
Rosen meminta istrinya membuatkan teh panas,Istri Rosen datang dengan segelas teh panas,Rosen meminta istrinya duduk di sebelahnya,Rosen dan istrinya saling bersenda gurau,Rosen dan istrinya bahagia dengan pernikahan ini,Rosen tidak ingin berdekatan dengan istrinya
Ardiyah tidak mendapatkan pekerjaan,Ardiyah hanya lulusan SMA,Ardiyah mendapatkan tawaran menjadi kasir di supermarket,Ardiyah menerima tawaran tersebut,Ardiyah memiliki pekerjaan sebagai kasir di supermarket,Ardiyah lebih senang menganggur
Dian sering memakai batik,Dian ingin melestarikan budaya Indonesia,Dian tidak malu saat memakai batik,Dian bangga dengan batik yang pakai,Batik adalah salah satu budaya Indonesia,Dian lebih suka mengikuti tren budaya barat
Novia meminta es krim pada kakaknya,Kakak Novia sedang tidak mau diganggu,Novia sedih dan menangis dalam diamnya,Kakak Novia sudah membelikan es krim di kulkas,Novia menjadi senang dan menghentikan tangisannya,Novia memiliki seorang adik
Dino alergi dengan laktosa,Ia tidak bisa minum susu sapi,"Jika ia minum susu, perutnya akan sakit","Oleh karena itu, Dino harus meminum susu lain",Biasanya ia minum susu kedelai atau susu almond,Susu sapi tidak baik untuk kesehatan
Ayah percaya Kina bisa cepat lancar mengendarai sepeda.,"Setiap sore, Ayah tidak pernah absen mengajari Kina.",Kina akan pelan-pelan mencoba maju dengan sepedanya.,Ayah menjaga Kina dengan berjalan sedekat yang Ayah bisa dari belakang ban sepeda Kina.,"Jika Kina tiba-tiba kehilangan keseimbangan, Ayah segera menahan agar Kina tidak terjatuh.","Jika Kina terjatuh, Ayah akan membiarkannya."
Ichsan adalah seorang anak yang ramah,Ia pandai bergaul dengan orang berbagai usia,"Ketika bergaul, ia tidak pernah membeda-bedakan",Semua tetangganya mengenal Ichsan dan senang mengobrol dengannya,"Bahkan, warga komplek sebelah juga mengenal Ichsan",Setiap hari Ichsan berangkat ke sekolah dengan anak tetangganya
Allan menghadiri reuni dengan teman-temannya,Allan berbagi banyak kisah dengan teman-teman lamanya,Banyak perubahan yang terjadi antara Allan dan teman-temannya,Allan sering tidak mengenali teman-temannya,Allan memiliki ingatan jangka pendek yang buruk,Allan menghafal nama semua teman-temannya
Ayah dan ibu mengajak Juju ke toko sepeda,Semester ini Juju peringkat satu di kelas,"Sebagai hadiah, ia akan dibelikan sepeda",Juju memilih sepeda berwarna merah,Ia senang bisa mendapatkan sepeda yang ia inginkan,Ia kesal karena sebenarnya ingin sepeda warna biru
"Larry tidak mengacuhkan tarikan tangan adiknya, Ruly.",Fokus Larry tertuju pada ponsel di tangannya.,Larry sedang mencari jalan menuju Monas dari stasiun melalui google maps.,"Ketika Ruly merengek ingin ke toilet, Larry langsung menoleh kaget ke arah Ruly.",Larry segera menggendong Ruly dan berlari ke toilet stasiun.,Larry segera menggendong Ruly dan masuk ke kereta.
Nahkoda bertugas untuk mengemudikan kapal,Nahkoda bertanggung jawab atas keselamatan penumpangnya,Nahkoda harus menentukan ke arah mana kapal berlayar,Nahkoda bekerja bersama kru kapal,Nahkoda bekerja sama dengan para kru untuk mengemudikan kapal,Nahkoda hanya bekerja sendiri di dalam kapal
Fred sangat suka pada sepatu,Ia seringkali melihat-lihat katalog sepatu online,Sayangnya ia tidak memiliki cukup uang untuk membeli banyak sepatu,Saat ini ia hanya memiliki satu sepatu untuk sekolah,Ia ingin sekali memiliki sepatu baru,Sepatu yang bagus dan tahan lama lebih baik dibeli
Ratna berkeliling dengan motornya.,Ia ingin mencari jajanan.,Jajanan tersebut akan diberikan untuk Ibu.,Ibu suka makanan manis.,Ratna segera membelokkan motornya ketika melihat restoran yang menjual crepes manis.,Ratna segera membelokkan motornya ke rumah Sabil.
Dira mengambil handuk,Dira ingin mandi,Dira hanya mandi satu kali sehari,Hari ini Dira belum mandi,Ibu sudah menyuruh Dira untuk mandi,Dira tidak mandi selama seminggu
HP milik Mamat sudah berusia lima tahun,"Meski teman-temannya sudah berkali-kali mengganti HP, ia tidak terpengaruh",Ia juga tidak tertarik dengan HP keluaran terbaru,HP Mamat yang sekarang ia beli menggunakan hasil keringatnya sendiri,"Oleh karena itu, Mamat sangat menjaga HP miliknya",Ia menunggu ada yang menawar HP dengan harga tinggi
Yassir bekerja di kantor yang jauh dari rumahnya.,Perjalanannya ke kantor memakan waktu 2 jam.,Pukul 5 Yassir harus sudah berada di dalam kereta.,Yassir juga harus dua kali berganti kereta di stasiun transit.,Yassir akan sampai di kantornya pukul 7 dengan berjalan kaki dari stasiun yang memang tidak jauh dari kantornya.,Yassir akan sampai di kantornya setelah sarapan bubur ayam.
Naufal melangkah ke kamar mandi untuk mengecek bak air.,Sudah lima belas menit berlalu sejak ia menyalakan keran air.,Harusnya bak tersebut sudah terisi penuh.,Naufal heran ketika melihat air di bak belum juga penuh.,"Ternyata Naufal lupa menutup lubang pembuangan air di bak, yang menyebabkan air terus mengalir ke luar dari bak.",Ternyata Naufal lupa membersihkan kamar mandi.
Jason rapat dengan wakil dan anggota komisi organisasinya,Wakil komisi Jason tidak bisa menghadiri rapat,Jason rapat mengenai rancangan program kerja ,Rapat dilaksanakan dalam jaringan,Jason rapat dengan wakil dan anggota komisi organisasinya,Rapat hanya dihadiri oleh Jason
Pegangan Jeje pada hand rail kereta tiba-tiba terlepas.,Jeje nyaris saja terjatuh karena kehilangan keseimbangan.,Namun Jeje berhasil menahan tubuhnya agar tetap tegak.,Berhentinya kereta secara mendadak yang menyebabkan tangan Jeje terlepas.,Jeje segera meraih hand rail lagi sebelum kereta kembali berjalan.,Jeje segera mencari petugas untuk meminta bantuan.
Perut Reno sangat sakit,Sore ini ia pergi berenang bersama adiknya,"Namun, sebelum berenang ia tidak pemanasan",Perutnya juga belum terisi sejak pagi,Akibatnya perut Reno menjadi kram,Reno sakit perut karena meminum air kolam renang
Gagang kamar mandi di rumah Elisa sudah rusak,"Tidak hanya itu, kuncinya sudah sedikit berkarat",Pintu itu menjadi sangat sulit dibuka,"Terkadang, kuncinya mampet sehingga jarang digunakan","Oleh karena itu, pintu itu jarang dikunci dan lebih sering diganjal dengan batu",Keluarga Elisa harus membangun kamar mandi baru
Akhir pekan ini akan diadakan bazar buku,Lokasinya terletak di alun-alun kota,Berbagai jenis buku dijual dengan harga yang murah,Sita pergi ke bazar buku tersebut bersama ibunya,Ia membeli banyak sekali novel dan komik,Sita tidak suka membaca buku
Sudah seminggu Wiby menderita sakit batuk.,Tenggorokan Wiby terasa gatal.,Wiby sudah minum obat setiap hari.,Namun Wiby tidak menjaga makannya karena ia masih sering makan gorengan.,Akibatnya batuk Wiby tidak sembuh-sembuh.,Akibatnya batuk Wiby kini disertai dengan pilek.
Indonesia sedang dilanda pandemi,Dunia dinyatakan sedang diserang virus Covid-19,Semua negara yang mengalami pandemi akan menerapkan protokol kesehatan,Indonesia membuat aturan baru,Indonesia membuat aturan baru tentang protokol kesehatan,Indonesia terbebas dari virus Covid-19
Haikal adalah anak yang mudah bergaul.,Haikal pintar mencairkan suasana.,"Di mana pun ada Haikal, pasti akan ramai.","Haikal sering bercanda, tetapi ia tahu batasan mana yang bisa dibuat bahan candaan dan mana yang tidak.",Itulah sebabnya Haikal disukai banyak temannya.,Itulah sebabnya Haikal dibenci.
Gian sedang sakit,Rambut Gian terus mengalami kerontokan,Gian melakukan terapi,Keadaan rambut Gian semakin parah,Rambut Gian rontok karena penyakit yang dideritanya,Terapi yang dilakukan Gian untuk mencegah rambutnya rontok semakin banyak
Ezra lihai bermain poker,"Ezra, Giran, dan Johan bermain kartu bersama",Giran dan Johan sudah berkali-kali kalah,Ezra selalu menang dengan mudah,Giran dan Johan tidak bisa mengalahkan Ezra,Johan berhasil mengelabui Ezra dan menjadi pemenang
"""menyenangkan sekali menjadi seperti kakak"" ucapnya ketika membuka file foto pada laptopku.","""nanti kalau sudah besar kamu juga bisa begitu. Sekarang puaskan saja main dengan teman-temanmu"" jawabku.","""aku tidak punya teman"" ia menjawab santai sambil merebut hp ku.",Aku terkejut mendengar jawabnya.,"""yasudah, nanti akan kau temukan"" jawabku lagi sambil mengusap rambutnya.","""celanamu bagus juga ya"" tanyaku."
Rezki jatuh hati pada seorang gadis,Gadis itu ia kenal dari platform media sosial,Rezki belum pernah bertemu dengan gadis itu,Rezki berusaha menghilangkan perasaannya,Rezki tidak mau mencintai gadis yang tidak pernah dicintainya,Rezki memaksa untuk terus mencintai gadis tersebut
Gianna ingin pulang saat hari ibu,Ibu Gianna sangat merindukan anaknya,Pekerjaan Gianna tidak dapat dikerjakan begitu saja,Gianna tetap pulang dengan kereta ke kampung halamannya,Gianna mengerjakan seluruh pekerjaannya saat di kereta,Gianna membatalkan rencananya untuk bertemu ibu
Ezzah ingin menjadi seperti gajah,Gajah sangat besar dan kuat,Ezzah ingin menjadi seseorang yang tangguh melawan kehidupan,Ezzah tidak ingin menjadi seorang yang lemah,Ezzah memotivasi dirinya untuk menjadi sehebat gajah,Ezzah memelihara gajah di kamarnya
Laily ingin menjadi seorang motivator,Laily ingin memberikan semangat untuk orang lain,Laily ingin hidupnya berguna,Laily senang berbicara di depan umum,Laily melatih dirinya untuk menjadi seorang motivator,Laily takut berbicara di depan umum
"Dalam rangka peringatan hari jadi sekolah, SMA Harapan mengadakan lomba",Lomba pertama adalah tarik tambang antar guru dan siswa,Perwakilan setiap kelas bersiap melawan perwakilan guru,Perlombaan berlangsung dengan sengit,Lomba ini dimenangkan oleh perwakilan siswa,Perlombaan ini semakin membosankan
Valeeqa berjanji akan datang,Valeeqa tidak dapat memenuhi janjinya,Valeeqa melakukan ziarah kubur,Valeeqa mendoakan seseorang yang meninggal karena melahirkannya,Valeeqa berziarah ke makan ibunya,Valeeqa selalu bersama dengan ibunya
